STATE,Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
Alabama,All Occupations,1922570.0,20.76,43170.0,15.77,32800.0
Alabama,Management Occupations,69950.0,53.44,111150.0,46.63,96980.0
Alabama,Chief Executives,1120.0,99.56,207090.0,94.45,196460.0
Alabama,General and Operations Managers,27150.0,58.04,120730.0,49.19,102320.0
Alabama,Marketing Managers,540.0,59.34,123430.0,53.05,110350.0
Alabama,Sales Managers,2220.0,60.88,126630.0,53.69,111680.0
Alabama,Public Relations and Fundraising Managers,430.0,45.32,94270.0,39.62,82400.0
Alabama,Administrative Services Managers,590.0,47.45,98700.0,44.5,92550.0
Alabama,Computer and Information Systems Managers,3120.0,59.51,123790.0,56.24,116990.0
Alabama,Financial Managers,5200.0,62.97,130980.0,56.88,118310.0
Alabama,Industrial Production Managers,3240.0,49.26,102450.0,46.3,96300.0
Alabama,Purchasing Managers,900.0,52.5,109200.0,53.25,110760.0
Alabama,"Transportation, Storage, and Distribution Managers",750.0,41.86,87060.0,40.04,83290.0
Alabama,Compensation and Benefits Managers,70.0,59.74,124270.0,53.96,112230.0
Alabama,Human Resources Managers,1200.0,50.8,105670.0,46.76,97260.0
Alabama,Training and Development Managers,140.0,59.35,123450.0,53.42,111110.0
Alabama,Construction Managers,2780.0,44.72,93010.0,39.92,83030.0
Alabama,"Education Administrators, Preschool and Childcare Center/Program",170.0,19.24,40020.0,16.36,34040.0
Alabama,"Education Administrators, Postsecondary",2430.0,51.2,106500.0,43.13,89710.0
Alabama,"Education Administrators, All Other",590.0,45.28,94190.0,45.19,93990.0
Alabama,Architectural and Engineering Managers,2450.0,66.88,139100.0,64.58,134330.0
Alabama,Food Service Managers,2180.0,30.65,63760.0,28.04,58320.0
Alabama,Funeral Service Managers,140.0,40.05,83300.0,38.72,80540.0
Alabama,Lodging Managers,530.0,26.15,54400.0,24.22,50380.0
Alabama,Medical and Health Services Managers,2810.0,49.84,103660.0,44.27,92070.0
Alabama,Natural Sciences Managers,140.0,54.13,112580.0,49.71,103390.0
Alabama,Postmasters and Mail Superintendents,280.0,37.39,77760.0,36.84,76620.0
Alabama,"Property, Real Estate, and Community Association Managers",590.0,35.12,73050.0,30.25,62930.0
Alabama,Social and Community Service Managers,1280.0,32.61,67830.0,30.02,62440.0
Alabama,Emergency Management Directors,190.0,32.83,68290.0,27.84,57910.0
Alabama,"Managers, All Other",2080.0,48.76,101420.0,47.71,99230.0
Alabama,Business and Financial Operations Occupations,73110.0,34.33,71410.0,30.94,64350.0
Alabama,Buyers and Purchasing Agents,6750.0,32.07,66700.0,30.03,62450.0
Alabama,"Claims Adjusters, Examiners, and Investigators",3830.0,30.93,64340.0,31.11,64700.0
Alabama,"Insurance Appraisers, Auto Damage",370.0,31.35,65220.0,30.67,63780.0
Alabama,Compliance Officers,1460.0,32.87,68380.0,31.5,65520.0
Alabama,Cost Estimators,2070.0,29.27,60870.0,27.86,57950.0
Alabama,Human Resources Specialists,5400.0,28.79,59890.0,27.12,56410.0
Alabama,Labor Relations Specialists,1010.0,23.37,48610.0,20.01,41610.0
