State,Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
Alabama,All Occupations,1974170.0,21.6,44930.0,16.73,34800.0
Alabama,Management Occupations,83760.0,51.86,107860.0,45.03,93660.0
Alabama,Chief Executives,1320.0,92.84,193110.0,86.91,180780.0
Alabama,General and Operations Managers,30790.0,56.41,117340.0,47.42,98630.0
Alabama,Advertising and Promotions Managers,70.0,49.85,103680.0,55.1,114610.0
Alabama,Marketing Managers,1040.0,55.99,116450.0,50.3,104630.0
Alabama,Sales Managers,2670.0,53.81,111930.0,48.6,101090.0
Alabama,Public Relations and Fundraising Managers,510.0,41.62,86570.0,36.56,76030.0
Alabama,Administrative Services and Facilities Managers,1050.0,48.56,101000.0,45.71,95080.0
Alabama,Computer and Information Systems Managers,3650.0,62.43,129860.0,58.33,121320.0
Alabama,Financial Managers,5480.0,62.06,129090.0,55.08,114570.0
Alabama,Industrial Production Managers,3320.0,52.78,109770.0,49.61,103200.0
Alabama,Purchasing Managers,880.0,51.8,107740.0,51.99,108140.0
Alabama,"Transportation, Storage, and Distribution Managers",1250.0,43.5,90480.0,39.26,81660.0
Alabama,Compensation and Benefits Managers,60.0,51.53,107190.0,47.92,99670.0
Alabama,Human Resources Managers,1440.0,52.17,108510.0,46.76,97250.0
Alabama,Training and Development Managers,210.0,51.94,108040.0,46.25,96200.0
Alabama,Construction Managers,3650.0,47.38,98550.0,42.49,88390.0
Alabama,"Education and Childcare Administrators, Preschool and Daycare",470.0,22.55,46910.0,18.07,37580.0
Alabama,Architectural and Engineering Managers,2340.0,68.51,142490.0,66.32,137950.0
Alabama,Food Service Managers,2690.0,28.16,58580.0,25.64,53340.0
Alabama,Lodging Managers,490.0,26.31,54720.0,25.59,53230.0
Alabama,Natural Sciences Managers,200.0,56.4,117310.0,53.13,110510.0
Alabama,Postmasters and Mail Superintendents,280.0,38.35,79760.0,37.56,78130.0
Alabama,"Property, Real Estate, and Community Association Managers",1750.0,29.04,60390.0,25.31,52640.0
Alabama,Emergency Management Directors,220.0,36.9,76750.0,31.92,66390.0
Alabama,Funeral Home Managers,220.0,37.79,78610.0,34.02,70760.0
Alabama,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",2170.0,51.19,106470.0,49.11,102140.0
