,Month,Year,CPI
1128,1,2007,202.416
1129,2,2007,203.499
1130,3,2007,205.352
1131,4,2007,206.686
1132,5,2007,207.949
1133,6,2007,208.352
1134,7,2007,208.299
1135,8,2007,207.917
1136,9,2007,208.49
1137,10,2007,208.936
1138,11,2007,210.177
1139,12,2007,210.036
1140,1,2008,211.08
1141,2,2008,211.693
1142,3,2008,213.528
1143,4,2008,214.823
1144,5,2008,216.632
1145,6,2008,218.815
1146,7,2008,219.964
1147,8,2008,219.086
1148,9,2008,218.783
1149,10,2008,216.573
1150,11,2008,212.425
1151,12,2008,210.228
1152,1,2009,211.143
1153,2,2009,212.193
1154,3,2009,212.709
1155,4,2009,213.24
1156,5,2009,213.856
1157,6,2009,215.693
1158,7,2009,215.351
1159,8,2009,215.834
1160,9,2009,215.969
1161,10,2009,216.177
1162,11,2009,216.33
1163,12,2009,215.949
1164,1,2010,216.687
1165,2,2010,216.741
1166,3,2010,217.631
1167,4,2010,218.009
1168,5,2010,218.178
1169,6,2010,217.965
1170,7,2010,218.011
1171,8,2010,218.312
1172,9,2010,218.439
1173,10,2010,218.711
1174,11,2010,218.803
1175,12,2010,219.179
1176,1,2011,220.223
1177,2,2011,221.309
1178,3,2011,223.467
1179,4,2011,224.906
1180,5,2011,225.964
1181,6,2011,225.722
1182,7,2011,225.922
1183,8,2011,226.545
1184,9,2011,226.889
1185,10,2011,226.421
1186,11,2011,226.23
1187,12,2011,225.672
1188,1,2012,226.665
1189,2,2012,227.663
1190,3,2012,229.392
1191,4,2012,230.085
1192,5,2012,229.815
1193,6,2012,229.478
1194,7,2012,229.104
1195,8,2012,230.379
1196,9,2012,231.407
1197,10,2012,231.317
1198,11,2012,230.221
1199,12,2012,229.601
1200,1,2013,230.28
1201,2,2013,232.166
1202,3,2013,232.773
1203,4,2013,232.531
1204,5,2013,232.945
1205,6,2013,233.504
1206,7,2013,233.596
1207,8,2013,233.877
1208,9,2013,234.149
1209,10,2013,233.546
1210,11,2013,233.069
1211,12,2013,233.049
1212,1,2014,233.916
1213,2,2014,234.781
1214,3,2014,236.293
1215,4,2014,237.072
1216,5,2014,237.9
1217,6,2014,238.343
1218,7,2014,238.25
1219,8,2014,237.852
1220,9,2014,238.031
1221,10,2014,237.433
1222,11,2014,236.151
1223,12,2014,234.812
1224,1,2015,233.707
1225,2,2015,234.722
1226,3,2015,236.119
1227,4,2015,236.599
1228,5,2015,237.805
1229,6,2015,238.638
1230,7,2015,238.654
1231,8,2015,238.316
1232,9,2015,237.945
1233,10,2015,237.838
1234,11,2015,237.336
1235,12,2015,236.525
1236,1,2016,236.916
1237,2,2016,237.111
1238,3,2016,238.132
1239,4,2016,239.261
1240,5,2016,240.229
1241,6,2016,241.018
1242,7,2016,240.628
1243,8,2016,240.849
1244,9,2016,241.428
1245,10,2016,241.729
1246,11,2016,241.353
1247,12,2016,241.432
1248,1,2017,242.839
1249,2,2017,243.603
1250,3,2017,243.801
1251,4,2017,244.524
1252,5,2017,244.733
1253,6,2017,244.955
1254,7,2017,244.786
1255,8,2017,245.519
1256,9,2017,246.819
1257,10,2017,246.663
1258,11,2017,246.669
1259,12,2017,246.524
1260,1,2018,247.867
1261,2,2018,248.991
1262,3,2018,249.554
1263,4,2018,250.546
1264,5,2018,251.588
1265,6,2018,251.989
1266,7,2018,252.006
1267,8,2018,252.146
1268,9,2018,252.439
1269,10,2018,252.885
1270,11,2018,252.038
1271,12,2018,251.233
1272,1,2019,251.712
1273,2,2019,252.776
1274,3,2019,254.202
1275,4,2019,255.548
1276,5,2019,256.092
1277,6,2019,256.143
1278,7,2019,256.571
1279,8,2019,256.558
1280,9,2019,256.759
1281,10,2019,257.346
1282,11,2019,257.208
1283,12,2019,256.974
1284,1,2020,257.971
1285,2,2020,258.678
1286,3,2020,258.115
1287,4,2020,256.389
1288,5,2020,256.394
1289,6,2020,257.797
1290,7,2020,259.101
1291,8,2020,259.918
1292,9,2020,260.28
1293,10,2020,260.388
1294,11,2020,260.229
1295,12,2020,260.474
1296,1,2021,261.582
1297,2,2021,263.014
1298,3,2021,264.877
1299,4,2021,267.054
1300,5,2021,269.195
1301,6,2021,271.696
1302,7,2021,273.003
