Job Title,Salary Estimate,Avg Salary(K),City,State,Python,spark,aws,excel,sql,sas,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Degree
Data Scientist,$53K-$91K ,72.0,Albuquerque, NM,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,M
Healthcare Data Scientist,$63K-$112K ,87.5,Linthicum, MD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$80K-$90K ,85.0,Clearwater, FL,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$56K-$97K ,76.5,Richland, WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$86K-$143K ,114.5,New York, NY,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$71K-$119K ,95.0,Dallas, TX,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,na
Data Scientist,$54K-$93K ,73.5,Baltimore, MD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$86K-$142K ,114.0,San Jose, CA,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,M
Research Scientist,$38K-$84K ,61.0,Rochester, NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist,$120K-$160K ,140.0,New York, NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$126K-$201K ,163.5,San Jose, CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$64K-$106K ,85.0,Chantilly, VA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,na
Staff Data Scientist - Technology,$106K-$172K ,139.0,Plano, TX,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,M
Data Analyst,$46K-$85K ,65.5,Seattle, WA,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,na
Data Scientist,$83K-$144K ,113.5,Cambridge, MA,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,M
