Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
All Occupations,140886310,28.01,58260,22.00,45760
Management Occupations,8909910,59.31,123370,49.25,102450
Top Executives,3229990,57.94,120520,47.46,98720
Chief Executives,200480,102.41,213020,86.31,179520
General and Operations Managers,2984920,55.41,115250,47.10,97970
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",838050,69.77,145130,61.62,128160
Advertising and Promotions Managers,22520,68.68,142860,61.13,127150
Marketing and Sales Managers,732490,70.48,146600,62.18,129330
Marketing Managers,278690,73.77,153440,64.92,135030
Sales Managers,453800,68.46,142390,61.30,127490
Public Relations and Fundraising Managers,83040,63.85,132800,57.62,119860
Public Relations Managers,59850,66.35,138000,60.47,125780
Fundraising Managers,23190,57.40,119400,48.47,100810
Operations Specialties Managers,2116020,67.26,139900,61.13,127140
Administrative Services and Facilities Managers,325850,52.69,109590,47.73,99290
Administrative Services Managers,224620,54.34,113030,48.16,100170
Facilities Managers,101230,49.03,101970,47.08,97930
Computer and Information Systems Managers,485190,78.33,162930,76.45,159010
Financial Managers,681070,73.78,153460,63.32,131710
Industrial Production Managers,192270,56.62,117780,49.59,103150
Purchasing Managers,69310,64.71,134590,61.13,127150
"Transportation, Storage, and Distribution Managers",144640,50.76,105580,47.22,98230
Compensation and Benefits Managers,15330,67.05,139470,61.31,127530
Human Resources Managers,166530,65.67,136590,60.69,126230
Training and Development Managers,35830,61.92,128800,57.76,120130
Other Management Occupations,2725860,51.55,107230,46.94,97630
"Farmers, Ranchers, and Other Agricultural Managers",5220,37.71,78440,35.12,73060
Construction Managers,284750,52.02,108210,47.55,98890
Education and Childcare Administrators,537100,47.73,99280,45.68,95010
"Education and Childcare Administrators, Preschool and Daycare",56430,25.87,53800,22.75,47310
"Education Administrators, Postsecondary",155990,53.49,111260,46.59,96910
"Education Administrators, All Other",49970,45.54,94730,43.54,90560
Architectural and Engineering Managers,187100,76.43,158970,73.25,152350
Food Service Managers,210680,30.75,63970,28.58,59440
Entertainment and Recreation Managers,21460,36.75,76430,30.42,63270
Gambling Managers,3660,42.88,89190,36.98,76910
"Entertainment and Recreation Managers, Except Gambling",17800,35.48,73810,29.81,62000
Lodging Managers,35920,32.58,67770,28.57,59430
Medical and Health Services Managers,436770,57.61,119840,48.72,101340
Natural Sciences Managers,74760,75.05,156110,66.30,137900
Postmasters and Mail Superintendents,12750,39.34,81820,38.58,80250
