Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
All Occupations,"140,886,310",28.01,"58,260",22.00,"45,760"
Management Occupations,"8,909,910",59.31,"123,370",49.25,"102,450"
Top Executives,"3,229,990",57.94,"120,520",47.46,"98,720"
Chief Executives,"200,480",102.41,"213,020",86.31,"179,520"
General and Operations Managers,"2,984,920",55.41,"115,250",47.10,"97,970"
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","838,050",69.77,"145,130",61.62,"128,160"
Advertising and Promotions Managers,"22,520",68.68,"142,860",61.13,"127,150"
Marketing and Sales Managers,"732,490",70.48,"146,600",62.18,"129,330"
Marketing Managers,"278,690",73.77,"153,440",64.92,"135,030"
Sales Managers,"453,800",68.46,"142,390",61.30,"127,490"
Public Relations and Fundraising Managers,"83,040",63.85,"132,800",57.62,"119,860"
Public Relations Managers,"59,850",66.35,"138,000",60.47,"125,780"
Fundraising Managers,"23,190",57.40,"119,400",48.47,"100,810"
Operations Specialties Managers,"2,116,020",67.26,"139,900",61.13,"127,140"
Administrative Services and Facilities Managers,"325,850",52.69,"109,590",47.73,"99,290"
Administrative Services Managers,"224,620",54.34,"113,030",48.16,"100,170"
Facilities Managers,"101,230",49.03,"101,970",47.08,"97,930"
Computer and Information Systems Managers,"485,190",78.33,"162,930",76.45,"159,010"
Financial Managers,"681,070",73.78,"153,460",63.32,"131,710"
Industrial Production Managers,"192,270",56.62,"117,780",49.59,"103,150"
Purchasing Managers,"69,310",64.71,"134,590",61.13,"127,150"
"Transportation, Storage, and Distribution Managers","144,640",50.76,"105,580",47.22,"98,230"
Compensation and Benefits Managers,"15,330",67.05,"139,470",61.31,"127,530"
Human Resources Managers,"166,530",65.67,"136,590",60.69,"126,230"
Training and Development Managers,"35,830",61.92,"128,800",57.76,"120,130"
Other Management Occupations,"2,725,860",51.55,"107,230",46.94,"97,630"
"Farmers, Ranchers, and Other Agricultural Managers","5,220",37.71,"78,440",35.12,"73,060"
Construction Managers,"284,750",52.02,"108,210",47.55,"98,890"
Education and Childcare Administrators,"537,100",47.73,"99,280",45.68,"95,010"
"Education and Childcare Administrators, Preschool and Daycare","56,430",25.87,"53,800",22.75,"47,310"
"Education Administrators, Kindergarten through Secondary","274,710",*,"102,650",*,"98,420"
"Education Administrators, Postsecondary","155,990",53.49,"111,260",46.59,"96,910"
"Education Administrators, All Other","49,970",45.54,"94,730",43.54,"90,560"
