Job Title,Salary Estimate,Location,Avg Salary(K),Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Degree
Data Scientist,$53K-$91K ,"Albuquerque, NM",72.0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,M
Healthcare Data Scientist,$63K-$112K ,"Linthicum, MD",87.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$80K-$90K ,"Clearwater, FL",85.0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$56K-$97K ,"Richland, WA",76.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$86K-$143K ,"New York, NY",114.5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$71K-$119K ,"Dallas, TX",95.0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,na
Data Scientist,$54K-$93K ,"Baltimore, MD",73.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$86K-$142K ,"San Jose, CA",114.0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,M
Research Scientist,$38K-$84K ,"Rochester, NY",61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist,$120K-$160K ,"New York, NY",140.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$126K-$201K ,"San Jose, CA",163.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$64K-$106K ,"Chantilly, VA",85.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,na
Staff Data Scientist - Technology,$106K-$172K ,"Plano, TX",139.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,M
Data Analyst,$46K-$85K ,"Seattle, WA",65.5,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,na
Data Scientist,$83K-$144K ,"Cambridge, MA",113.5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,M
Data Engineer I,$102K-$190K ,"Newark, NJ",146.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
"Scientist I/II, Biology",$67K-$137K ,"Cambridge, MA",102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
Customer Data Scientist,$118K-$189K ,"Mountain View, CA",153.5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,M
Data Scientist - Health Data Analytics,$110K-$175K ,"San Francisco, CA",142.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$64K-$111K ,"Denver, CO",87.5,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,M
Data Scientist,$81K-$130K ,"Seattle, WA",105.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,M
Senior Data Scientist / Machine Learning,$73K-$119K ,"Dallas, TX",96.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist - Quantitative,$86K-$139K ,"Chicago, IL",112.5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,M
Data Scientist,$63K-$105K ,"Louisville, KY",84.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,M
Data Scientist,$109K-$177K ,"Herndon, VA",143.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,na
Digital Health Data Scientist,$63K-$110K ,"Cambridge, MA",86.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$75K-$124K ,"Hillsboro, OR",99.5,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,na
Associate Data Analyst,$34K-$61K ,"Worcester, MA",47.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Clinical Data Scientist,$63K-$105K ,"Groton, CT",84.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$80K-$90K ,"Clearwater, FL",85.0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$56K-$97K ,"Richland, WA",76.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$72K-$120K ,"Detroit, MI",96.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,M
Data Scientist / Machine Learning Expert,$86K-$143K ,"Cambridge, MA",114.5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,na
Data Scientist,$93K-$149K ,"Sunnyvale, CA",121.0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,M
Data Scientist,$85K-$140K ,"Ipswich, MA",112.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Web Data Analyst,$77K-$135K ,"San Jose, CA",106.0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,na
Data Scientist,$82K-$132K ,"Redlands, CA",107.0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,M
Data Scientist,$83K-$137K ,"Woburn, MA",110.0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,P
Senior Data Scientist,$115K-$180K ,"Fremont, CA",147.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Engineer,$74K-$138K ,"Long Beach, NY",106.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,M
Data Analyst,$64K-$112K ,"San Francisco, CA",88.0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,na
Data Engineer,$68K-$129K ,"Marlborough, MA",98.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist - Algorithms & Inference,$110K-$175K ,"San Francisco, CA",142.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Scientist,$52K-$113K ,"Allendale, NJ",82.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Senior Data Scientist,$110K-$150KEmployer est.,"Chicago, IL",130.0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,M
Data Scientist,Employer Provided Salary:$150K-$160K,"Washington, DC",155.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Lead Data Scientist,$158K-$211K ,"Bellevue, WA",184.5,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,na
Associate Data Analyst,$20K-$39K ,"Longmont, CO",29.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Spectral Scientist/Engineer,$56K-$117K ,"Beavercreek, OH",86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K ,"Peoria, IL",81.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,na
Data Scientist,$68K-$114K ,"Fort Lauderdale, FL",91.0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,na
"Data Scientist, Office of Data Science",$86K-$143K ,"Boston, MA",114.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Science Analyst,$41K-$95K ,"Huntsville, AL",68.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,na
Data Scientist,$86K-$144K ,"Armonk, NY",115.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$80K-$139K ,"San Diego, CA",109.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,na
Data Scientist,$56K-$95K ,"Albuquerque, NM",75.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$120K-$189K ,"San Francisco, CA",154.5,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,P
Data Scientist,$111K-$176K ,"Saint Louis, MO",143.5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,na
Data Scientist,$54K-$93K ,"Baltimore, MD",73.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$71K-$119K ,"Dallas, TX",95.0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,na
Senior Data Scientist,$82K-$132K ,"Cincinnati, OH",107.0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,M
Data Scientist,$84K-$146K ,"New York, NY",115.0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,na
Senior Risk Data Scientist,$107K-$172K ,"Palo Alto, CA",139.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,M
Data Scientist in Artificial Intelligence Early Career,$49K-$85K ,"Richland, WA",67.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,M
Data Scientist,$61K-$109K ,"Coraopolis, PA",85.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,M
Data Scientist,$88K-$148K ,"Framingham, MA",118.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist,$60K-$99K ,"Atlanta, GA",79.5,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,na
Data Scientist - Research,$41K-$72K ,"Boston, MA",56.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,na
Data Scientist,$96K-$161K ,"Philadelphia, PA",128.5,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,na
R&D Data Analysis Scientist,$65K-$130K ,"Vancouver, WA",97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Analytics Consultant,$52K-$81K ,"Indianapolis, IN",66.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,na
"Director, Data Science",$139K-$220K ,"Lake Forest, IL",179.5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,M
Scientist,$50K-$102K ,"Maryland Heights, MO",76.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist SR,$85K-$139K ,"Charlottesville, VA",112.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,M
Data Scientist,$74K-$122K ,"Pittsburgh, PA",98.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,M
R&D Sr Data Scientist,$99K-$157K ,"Vancouver, WA",128.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,M
